bayc_id,bakc_id,mayc_m1_id,mayc_m2_id,mayc_m3_id,all_mayc_ids,notes,source_confidence
0,0,10000,,,10000,,confirmed
1,1,10002,,,10002,,confirmed
2,2,10004,,,10004,,confirmed
3,3,10006,,,10006,,confirmed
4,4,,,,,NO_MAYC,confirmed
5,5,10010,,,10010,,confirmed
6,6,,,,,NO_MAYC,confirmed
7,7,,10015,,10015,,confirmed
8,8,10016,,,10016,,confirmed
9,9,10018,,,10018,,confirmed
10,10,10020,10021,,"10020,10021",,confirmed
11,11,10022,10023,,"10022,10023",,confirmed
12,12,,,,,NO_MAYC,confirmed
13,13,10026,,,10026,,confirmed
14,14,10028,,,10028,,confirmed
15,15,10030,,,10030,,confirmed
16,16,10032,10033,,"10032,10033",,confirmed
17,17,,,,,NO_MAYC,confirmed
18,18,10036,10037,,"10036,10037",,confirmed
19,19,10038,,,10038,,confirmed
20,20,10040,,,10040,,confirmed
21,21,10042,10043,,"10042,10043",,confirmed
22,22,,,,,NO_MAYC,confirmed
23,23,10046,10047,,"10046,10047",,confirmed
24,24,10048,10049,,"10048,10049",,confirmed
25,25,,,,,NO_MAYC,confirmed
26,26,10052,,,10052,,confirmed
27,27,10054,,,10054,,confirmed
28,28,10056,,,10056,,confirmed
29,29,,,,,NO_MAYC,confirmed
30,30,,10061,,10061,,confirmed
31,31,10062,10063,,"10062,10063",,confirmed
32,32,,,,,NO_MAYC,confirmed
33,33,10066,,,10066,,confirmed
34,34,,,,,NO_MAYC,confirmed
35,35,10070,,,10070,,confirmed
36,36,10072,,,10072,,confirmed
37,37,10074,,,10074,,confirmed
38,38,,,,,NO_MAYC,confirmed
39,39,10078,,,10078,,confirmed
40,40,10080,,,10080,,confirmed
41,41,,,,,NO_MAYC,confirmed
42,42,10084,10085,,"10084,10085",,confirmed
43,43,10086,,,10086,,confirmed
44,44,,10089,,10089,,confirmed
45,45,10090,,,10090,,confirmed
46,46,,,,,NO_MAYC,confirmed
47,47,10094,,,10094,,confirmed
48,48,,,,,NO_MAYC,confirmed
49,,10098,,,10098,NO_BAKC,confirmed
50,50,10100,,,10100,,confirmed
51,51,10102,,,10102,,confirmed
52,52,10104,10105,,"10104,10105",,confirmed
53,53,10106,,,10106,,confirmed
54,54,10108,,,10108,,confirmed
55,55,10110,10111,,"10110,10111",,confirmed
56,56,10112,10113,,"10112,10113",,confirmed
57,57,10114,,,10114,,confirmed
58,58,10116,,,10116,,confirmed
59,59,,,,,NO_MAYC,confirmed
60,60,,,,,NO_MAYC,confirmed
61,61,10122,,,10122,,confirmed
62,62,,,,,NO_MAYC,confirmed
63,63,10126,,,10126,,confirmed
64,64,10128,10129,,"10128,10129",,confirmed
65,,10130,,,10130,NO_BAKC,confirmed
66,66,10132,,,10132,,confirmed
67,67,10134,,,10134,,confirmed
68,68,,,,,NO_MAYC,confirmed
69,69,,,,,NO_MAYC,confirmed
70,,,,,,NO_MAYC; NO_BAKC,confirmed
71,71,10142,,,10142,,confirmed
72,72,10144,,,10144,,confirmed
73,73,10146,10147,,"10146,10147",,confirmed
74,74,10148,,,10148,,confirmed
75,75,10150,,,10150,,confirmed
76,76,10152,,,10152,,confirmed
77,77,10154,,,10154,,confirmed
78,78,10156,10157,,"10156,10157",,confirmed
79,79,,10159,,10159,,confirmed
80,80,10160,10161,,"10160,10161",,confirmed
81,81,10162,,,10162,,confirmed
82,82,10164,,,10164,,confirmed
83,83,10166,,,10166,,confirmed
84,84,10168,10169,,"10168,10169",,confirmed
85,85,10170,10171,,"10170,10171",,confirmed
